buyer,seller,symbol,K,n,mean_fwd,global_mean_fwd,residual_mean,t_stat
Mark 22,Mark 38,HYDROGEL_PACK,100,11,-13.090909090909092,0.015732546705998034,-13.10664163761509,-2.654428614083611
Mark 22,Mark 38,HYDROGEL_PACK,20,11,-5.863636363636363,-0.11448140900195694,-5.749154954634406,-2.425171945773196
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,7,5.571428571428571,-0.0036469730123997084,5.5750755444409705,1.4192769998472996
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,100,5,-4.8,-0.0036469730123997084,-4.7963530269876005,-2.6564377579799308
Mark 38,Mark 22,HYDROGEL_PACK,100,7,-4.428571428571429,0.015732546705998034,-4.4443039752774265,-0.5518073271302719
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,11,-3.3636363636363638,-0.0036469730123997084,-3.359989390623964,-2.1099840094951436
Mark 38,Mark 22,HYDROGEL_PACK,5,8,3.1875,-0.05430528375733855,3.2418052837573383,1.6600342276747226
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,12,-2.7083333333333335,0.33671252715423605,-3.0450458604875696,-1.7958193225008408
Mark 22,Mark 38,HYDROGEL_PACK,5,11,-2.6818181818181817,-0.05430528375733855,-2.6275128980608433,-2.762928144165997
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,100,9,-2.5,-0.0036469730123997084,-2.4963530269876,-0.9496334067493776
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,7,2.7142857142857144,0.33671252715423605,2.3775731871314782,1.4462859742340224
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,20,9,2.6666666666666665,0.33671252715423605,2.3299541395124304,2.537765074298061
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,12,-1.875,0.33598841419261405,-2.210988414192614,-1.982586981236471
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,5,-1.7,0.33598841419261405,-2.035988414192614,-2.084673754248884
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,88,1.9204545454545454,-0.0036469730123997084,1.9241015184669452,1.969296793952289
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,7,2.142857142857143,0.33598841419261405,1.8068687286645289,2.5630729731502826
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,18,-1.3888888888888888,0.33598841419261405,-1.7248773030815028,-2.10846074057846
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,2.06,0.33598841419261405,1.7240115858073861,9.305618142256106
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,20,14,2.0357142857142856,0.33671252715423605,1.6990017585600494,2.042842193815064
Mark 01,Mark 22,VEV_5200,100,11,2.772727272727273,1.074468085106383,1.69825918762089,1.6188859319906685
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,75,2.026666666666667,0.33671252715423605,1.6899541395124307,4.158913599641124
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,20,5,-1.3,0.33671252715423605,-1.636712527154236,-0.5390989584634134
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,1.8764044943820224,0.33598841419261405,1.5404160801894085,9.11175260049984
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,100,14,1.5,-0.0036469730123997084,1.5036469730123998,0.49327021805638177
Mark 38,Mark 22,HYDROGEL_PACK,20,8,1.3125,-0.11448140900195694,1.426981409001957,0.703413698945422
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,5,14,1.7142857142857142,0.33598841419261405,1.3782973000931,3.917175295424238
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,89,1.6348314606741574,0.33671252715423605,1.2981189335199215,4.112987835719065
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-0.0036469730123997084,-1.258410904801105,-2.572083362790216
Mark 14,Mark 22,VEV_5200,100,33,-0.09090909090909091,1.074468085106383,-1.1653771760154739,-0.0820854689623841
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,-0.0036469730123997084,1.101207948622156,2.2196620491830568
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,18,0.8888888888888888,-0.0036469730123997084,0.8925358619012885,0.37129654615962404
Mark 14,Mark 38,HYDROGEL_PACK,100,494,0.8927125506072875,0.015732546705998034,0.8769800039012895,1.0968620899695485
Mark 14,Mark 22,VEV_5400,100,13,-0.8846153846153846,-0.038461538461538464,-0.8461538461538461,-1.4624684667275758
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,75,0.7266666666666667,-0.0036469730123997084,0.7303136396790664,0.6565299240803995
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5,9,1.0,0.33598841419261405,0.664011585807386,1.8516401995451028
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-0.0036469730123997084,-0.6309684116029849,-1.1125083621188172
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,0.33671252715423605,-0.5740542993061348,-1.040850794089224
Mark 01,Mark 22,VEV_5200,20,11,0.8636363636363636,0.2978723404255319,0.5657640232108317,0.8463272660560105
Mark 14,Mark 22,VEV_5500,100,7,-0.5714285714285714,-0.03618421052631579,-0.5352443609022556,-2.2478059477960657
Mark 38,Mark 14,HYDROGEL_PACK,100,505,-0.49504950495049505,0.015732546705998034,-0.510782051656493,-0.6070194537656002
Mark 14,Mark 22,VEV_5500,20,7,-0.42857142857142855,0.014705882352941176,-0.4432773109243697,-2.1213203435596424
