day,buyer,seller,symbol,n_tight,n_loose,mean_fwd_EXTRACT_20_tight,mean_fwd_EXTRACT_20_loose,delta_tight_minus_loose,welch_t_tight_vs_loose,welch_p
1,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,11,70,-0.9545454545454546,-0.5214285714285715,-0.4331168831168831,-0.2671551913607958,0.7936380999047337
1,Mark 38,Mark 14,HYDROGEL_PACK,25,162,1.24,-0.5709876543209876,1.8109876543209875,2.440362861889287,0.019586716953143336
1,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,11,65,-0.3181818181818182,0.9230769230769231,-1.2412587412587412,-1.238305907960695,0.22981328591991088
1,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,13,101,1.0,-0.20297029702970298,1.202970297029703,1.0020037169970488,0.3318616665021982
1,Mark 14,Mark 38,HYDROGEL_PACK,25,158,2.72,0.25,2.47,2.4153394898375127,0.021984942150949344
1,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,14,83,2.3214285714285716,1.1506024096385543,1.1708261617900173,1.1767476428156094,0.2535171102066225
2,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,19,72,-0.3684210526315789,-0.9583333333333334,0.5899122807017545,0.5400890118397732,0.594104175658628
2,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,98,0.45,0.4336734693877551,0.016326530612244927,0.022647334299036204,0.982054538251695
2,Mark 14,Mark 38,HYDROGEL_PACK,33,109,1.378787878787879,-0.7018348623853211,2.0806227411732,2.159711541724761,0.0356714540963352
2,Mark 38,Mark 14,HYDROGEL_PACK,27,134,0.4444444444444444,-0.12313432835820895,0.5675787728026533,0.7820117727230793,0.4382368197280261
2,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,21,71,0.09523809523809523,0.13380281690140844,-0.038564721663313206,-0.03796420223678953,0.9699538680679854
2,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,16,76,-1.28125,-0.09868421052631579,-1.1825657894736843,-0.9619874613304051,0.34815842102137856
3,Mark 38,Mark 14,HYDROGEL_PACK,77,82,0.33766233766233766,-0.8109756097560976,1.1486379474184352,1.716442184970829,0.08806127640279167
3,Mark 14,Mark 38,HYDROGEL_PACK,68,103,0.33088235294117646,-1.5485436893203883,1.8794260422615647,2.8208277187461666,0.005469625587968776
3,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,52,64,-0.0673076923076923,0.2265625,-0.2938701923076923,-0.3972334066227369,0.6919432577737981
3,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,39,32,0.11538461538461539,1.015625,-0.9002403846153846,-0.8978784408600491,0.37260907596615733
3,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,40,53,0.6875,-0.12264150943396226,0.8101415094339622,0.7912471891429659,0.43095594874688875
3,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,55,55,0.4090909090909091,-1.1272727272727272,1.5363636363636364,1.932512133708181,0.05593880265689187
3,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,8,9,2.6875,2.6666666666666665,0.02083333333333348,0.008816477524639913,0.9930853363076819
