mark,role,horizon_K,gate_sample,gate_attach,n,mean_fwd,median_fwd,frac_pos,t_vs_zero
Mark 22,any_touch,5,wide_on_panel,merge_asof_backward_on_inner_panel,122,1.0860655737704918,1.5,0.680327868852459,4.074484973380437
Mark 22,any_touch,20,wide_on_panel,merge_asof_backward_on_inner_panel,122,1.0040983606557377,1.5,0.6065573770491803,2.264158335940913
Mark 22,any_touch,100,wide_on_panel,merge_asof_backward_on_inner_panel,122,-0.4180327868852459,-0.25,0.4672131147540984,-0.41325678124736565
Mark 38,buyer_agg,5,wide_on_panel,merge_asof_backward_on_inner_panel,533,-0.04127579737335835,0.0,0.4596622889305816,-0.24995762409270103
Mark 38,buyer_agg,20,wide_on_panel,merge_asof_backward_on_inner_panel,533,-0.23639774859287055,0.0,0.4896810506566604,-0.7246834993744894
Mark 38,buyer_agg,100,wide_on_panel,merge_asof_backward_on_inner_panel,532,-0.7922932330827067,0.0,0.48120300751879697,-1.1462739475841621
Mark 38,seller_agg,5,wide_on_panel,merge_asof_backward_on_inner_panel,555,-0.02882882882882883,0.0,0.45225225225225224,-0.1737097255770895
Mark 38,seller_agg,20,wide_on_panel,merge_asof_backward_on_inner_panel,555,0.04954954954954955,0.0,0.47387387387387386,0.155321703421408
Mark 38,seller_agg,100,wide_on_panel,merge_asof_backward_on_inner_panel,555,0.2801801801801802,-1.0,0.4666666666666667,0.41863625510167357
Mark 38,any_touch,5,wide_on_panel,merge_asof_backward_on_inner_panel,1088,-0.034926470588235295,0.0,0.45588235294117646,-0.2984127642739033
Mark 38,any_touch,20,wide_on_panel,merge_asof_backward_on_inner_panel,1088,-0.09053308823529412,0.0,0.48161764705882354,-0.3970502688650927
Mark 38,any_touch,100,wide_on_panel,merge_asof_backward_on_inner_panel,1087,-0.24471021159153633,0.0,0.47378104875804966,-0.5088686521433046
Mark 49,any_touch,5,wide_on_panel,merge_asof_backward_on_inner_panel,103,1.5097087378640777,2.0,0.7087378640776699,6.815561198656881
Mark 49,any_touch,20,wide_on_panel,merge_asof_backward_on_inner_panel,103,1.5679611650485437,2.0,0.6796116504854369,3.9250851035996073
Mark 49,any_touch,100,wide_on_panel,merge_asof_backward_on_inner_panel,103,1.4757281553398058,0.0,0.49514563106796117,1.69048816132592
Mark 55,buyer_agg,5,wide_on_panel,merge_asof_backward_on_inner_panel,436,0.2763761467889908,0.0,0.481651376146789,2.6262290479923696
Mark 55,buyer_agg,20,wide_on_panel,merge_asof_backward_on_inner_panel,436,0.4713302752293578,0.5,0.5114678899082569,2.401302521827568
Mark 55,buyer_agg,100,wide_on_panel,merge_asof_backward_on_inner_panel,435,0.035632183908045977,-0.5,0.4781609195402299,0.0793564354000979
Mark 55,seller_agg,5,wide_on_panel,merge_asof_backward_on_inner_panel,442,-0.0022624434389140274,0.0,0.4321266968325792,-0.022002366903457533
Mark 55,seller_agg,20,wide_on_panel,merge_asof_backward_on_inner_panel,442,-0.21266968325791855,0.0,0.4276018099547511,-1.0854926798414446
Mark 55,seller_agg,100,wide_on_panel,merge_asof_backward_on_inner_panel,442,-1.8529411764705883,-2.5,0.3914027149321267,-4.501949573008761
Mark 55,any_touch,5,wide_on_panel,merge_asof_backward_on_inner_panel,878,0.13610478359908884,0.0,0.45671981776765375,1.84761294083879
Mark 55,any_touch,20,wide_on_panel,merge_asof_backward_on_inner_panel,878,0.12699316628701596,0.0,0.46924829157175396,0.9131810004078913
Mark 55,any_touch,100,wide_on_panel,merge_asof_backward_on_inner_panel,877,-0.9161915621436716,-1.5,0.43443557582668185,-2.995567777537336
Mark 67,buyer_agg,5,wide_on_panel,merge_asof_backward_on_inner_panel,137,1.9963503649635037,2.0,0.8540145985401459,12.586260212510172
Mark 67,buyer_agg,20,wide_on_panel,merge_asof_backward_on_inner_panel,137,1.7664233576642336,1.5,0.656934306569343,5.224961675565793
Mark 67,buyer_agg,100,wide_on_panel,merge_asof_backward_on_inner_panel,137,1.3832116788321167,1.0,0.5328467153284672,1.7479046169675427
Mark 67,any_touch,5,wide_on_panel,merge_asof_backward_on_inner_panel,138,1.9782608695652173,2.0,0.8478260869565217,12.481489017226732
Mark 67,any_touch,20,wide_on_panel,merge_asof_backward_on_inner_panel,138,1.8043478260869565,1.5,0.6594202898550725,5.342240891568958
Mark 67,any_touch,100,wide_on_panel,merge_asof_backward_on_inner_panel,138,1.5108695652173914,1.0,0.5362318840579711,1.8983079595371695
