mark,role,burst_stratum,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
Mark 38,buyer_agg,isolated,20,VELVETFRUIT_EXTRACT,715,-0.0993006993006993,0.0,0.44475524475524475,-0.6492436702840102,-0.42255244755244753,0.20770979020979022
Mark 38,buyer_agg,isolated,20,HYDROGEL_PACK,715,-0.4076923076923077,0.0,0.49230769230769234,-1.2630247498497567,-1.0741783216783216,0.2161713286713286
Mark 38,buyer_agg,isolated,100,VELVETFRUIT_EXTRACT,712,-0.3672752808988764,-0.5,0.46348314606741575,-1.0542416254871974,-1.0704002808988764,0.3317240168539323
Mark 38,buyer_agg,isolated,100,HYDROGEL_PACK,712,-0.3321629213483146,0.0,0.4859550561797753,-0.4821918176134462,-1.6819522471910113,0.9474719101123594
Mark 38,seller_agg,multi_ts_burst,5,VELVETFRUIT_EXTRACT,16,1.5625,2.5,0.625,2.9586316770696928,0.5,2.5632812499999993
Mark 38,seller_agg,multi_ts_burst,5,HYDROGEL_PACK,16,0.96875,2.0,0.625,1.3574400491930634,-0.4375,2.3125
Mark 38,seller_agg,multi_ts_burst,20,VELVETFRUIT_EXTRACT,16,2.625,5.0,0.625,2.1366369348357592,0.5,4.96875
Mark 38,seller_agg,multi_ts_burst,20,HYDROGEL_PACK,16,0.1875,2.75,0.5625,0.10810781563274248,-3.3140625,3.4703124999999986
Mark 38,seller_agg,multi_ts_burst,100,VELVETFRUIT_EXTRACT,16,7.53125,11.75,0.625,2.902603420645059,2.3382812500000005,12.53203125
Mark 38,seller_agg,multi_ts_burst,100,HYDROGEL_PACK,16,-8.84375,-14.0,0.1875,-3.181596688300193,-13.63046875,-3.3125
Mark 38,seller_agg,isolated,5,VELVETFRUIT_EXTRACT,729,-0.08299039780521263,0.0,0.4279835390946502,-0.9983625466932738,-0.2449074074074074,0.07834362139917682
Mark 38,seller_agg,isolated,5,HYDROGEL_PACK,729,-0.0075445816186556925,0.0,0.45816186556927296,-0.04581667061055614,-0.3127743484224966,0.3313957475994512
Mark 38,seller_agg,isolated,20,VELVETFRUIT_EXTRACT,729,-0.15089163237311384,-0.5,0.4403292181069959,-0.9111188889719765,-0.4575617283950617,0.22174211248285305
Mark 38,seller_agg,isolated,20,HYDROGEL_PACK,729,0.23113854595336078,0.0,0.49382716049382713,0.7308822359788899,-0.3909979423868313,0.9002057613168721
Mark 38,seller_agg,isolated,100,VELVETFRUIT_EXTRACT,729,-0.34705075445816186,-1.0,0.4513031550068587,-0.9791078340998665,-1.0172325102880657,0.3074245541838133
