mark,role,burst_stratum,horizon_K,n,mean_fwd_same,t_vs_zero,ci95_low,ci95_high
Mark 22,seller_agg,multi_ts_burst,5,1344,-0.042782738095238096,-4.036295530609916,-0.06287202380952381,-0.021940104166666672
Mark 22,seller_agg,multi_ts_burst,20,1344,-0.001488095238095238,-0.059304031290568056,-0.05060453869047619,0.04392671130952378
Mark 22,seller_agg,multi_ts_burst,100,1340,0.03507462686567164,0.7288394376930502,-0.05226679104477611,0.13098880597014925
Mark 22,seller_agg,isolated,5,86,-0.31976744186046513,-2.30276987063629,-0.5930232558139535,-0.04636627906976758
Mark 22,seller_agg,isolated,20,86,-0.4069767441860465,-1.7902871850985824,-0.901453488372093,0.00014534883720917013
Mark 22,seller_agg,isolated,100,86,-0.4883720930232558,-2.0398984239135793,-0.9828488372093023,-0.07543604651162804
Mark 38,buyer_agg,multi_ts_burst,5,18,0.25,0.328132068638047,-1.2506944444444443,1.7777777777777777
Mark 38,buyer_agg,multi_ts_burst,20,18,1.3611111111111112,0.7943625284113174,-1.7777777777777777,4.972222222222222
Mark 38,buyer_agg,multi_ts_burst,100,18,4.916666666666667,1.3197265603421267,-2.279861111111111,11.47361111111111
Mark 38,buyer_agg,isolated,5,715,-0.028671328671328673,-0.204131557865857,-0.3126223776223776,0.2231293706293706
Mark 38,buyer_agg,isolated,20,715,-0.1797202797202797,-0.6392903240697052,-0.6896678321678322,0.3209965034965035
Mark 38,buyer_agg,isolated,100,712,-0.48174157303370785,-0.796511704559296,-1.6513518258426967,0.7290905898876396
Mark 38,seller_agg,multi_ts_burst,5,16,1.4375,2.3162710467184375,0.3125,2.71875
Mark 38,seller_agg,multi_ts_burst,20,16,-0.5,-0.32573117099222815,-3.4078125,2.15625
Mark 38,seller_agg,multi_ts_burst,100,16,2.65625,0.9020969251688528,-3.34453125,7.629687499999996
Mark 38,seller_agg,isolated,5,729,-0.06721536351165981,-0.4601342158756418,-0.355281207133059,0.1900205761316872
Mark 38,seller_agg,isolated,20,729,0.05075445816186557,0.17922649719919398,-0.4906721536351166,0.5878943758573387
Mark 38,seller_agg,isolated,100,729,0.4074074074074074,0.6927158982046511,-0.766358024691358,1.5510288065843618
Mark 55,buyer_agg,isolated,5,591,0.20050761421319796,2.246188547452201,0.03375634517766498,0.3790186125211506
Mark 55,buyer_agg,isolated,20,591,0.4027072758037225,2.4221497474245623,0.09217428087986464,0.7352157360406091
Mark 55,buyer_agg,isolated,100,589,0.5118845500848896,1.3440368182174072,-0.21230899830220712,1.2371816638370117
Mark 55,seller_agg,isolated,5,595,0.04789915966386555,0.531322593798149,-0.13109243697478992,0.23025210084033612
Mark 55,seller_agg,isolated,20,595,-0.09663865546218488,-0.5613074845646703,-0.4202310924369748,0.21111344537815108
Mark 55,seller_agg,isolated,100,594,-0.8956228956228957,-2.4388757641145182,-1.5860058922558922,-0.22398989898989968
Mark 67,buyer_agg,isolated,5,162,1.9753086419753085,13.030065309864778,1.6727623456790124,2.265663580246913
Mark 67,buyer_agg,isolated,20,162,1.8209876543209877,5.822888939968094,1.1728395061728396,2.453935185185185
Mark 67,buyer_agg,isolated,100,162,1.3271604938271604,1.8097423438332165,-0.08950617283950617,2.7348765432098765
