holdout_day,buyer,seller,symbol,K,n,mean_res_loo
2,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,118,0.14042730962043448
2,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,118,-0.21614148165831146
2,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,118,0.00115381554865951
2,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,26,-0.2684458398744111
2,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,26,-1.2770800627943484
2,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,26,-1.9364207221350078
2,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,35,-0.3613756613756615
2,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,35,0.013227513227513097
2,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,35,2.2013227513227513
3,Mark 01,Mark 22,VEV_5200,5,11,
3,Mark 01,Mark 22,VEV_5200,20,11,
3,Mark 01,Mark 22,VEV_5200,100,11,
3,Mark 01,Mark 22,VEV_5300,5,69,0.03623188405797098
3,Mark 01,Mark 22,VEV_5300,20,69,0.28433402346445813
3,Mark 01,Mark 22,VEV_5300,100,69,0.6380262249827466
3,Mark 01,Mark 22,VEV_5400,5,109,-0.034777190740493485
3,Mark 01,Mark 22,VEV_5400,20,109,-0.031858958464463065
3,Mark 01,Mark 22,VEV_5400,100,109,0.18442401469924413
3,Mark 01,Mark 22,VEV_5500,5,119,0.009778456837280364
3,Mark 01,Mark 22,VEV_5500,20,119,0.03771326712503182
3,Mark 01,Mark 22,VEV_5500,100,119,0.06987522281639927
3,Mark 01,Mark 22,VEV_6000,5,124,0.0
3,Mark 01,Mark 22,VEV_6000,20,124,0.0
3,Mark 01,Mark 22,VEV_6000,100,124,0.0
3,Mark 01,Mark 22,VEV_6500,5,124,0.0
3,Mark 01,Mark 22,VEV_6500,20,124,0.0
3,Mark 01,Mark 22,VEV_6500,100,124,0.0
3,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,93,0.03424950080618478
3,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,93,0.38743312938463
3,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,93,-0.6856627265058567
3,Mark 14,Mark 22,VEV_5200,5,19,-0.048872180451127845
3,Mark 14,Mark 22,VEV_5200,20,19,-1.4003759398496236
3,Mark 14,Mark 22,VEV_5200,100,19,0.09022556390977432
3,Mark 14,Mark 22,VEV_5300,5,10,0.6000000000000001
3,Mark 14,Mark 22,VEV_5300,20,10,0.3500000000000001
3,Mark 14,Mark 22,VEV_5300,100,10,-0.17499999999999988
3,Mark 14,Mark 38,HYDROGEL_PACK,5,171,-0.539985380116959
3,Mark 14,Mark 38,HYDROGEL_PACK,20,171,-1.2862481725146195
3,Mark 14,Mark 38,HYDROGEL_PACK,100,171,1.2068804824561397
3,Mark 14,Mark 38,VEV_4000,5,77,0.4231601731601732
3,Mark 14,Mark 38,VEV_4000,20,77,0.6341991341991347
3,Mark 14,Mark 38,VEV_4000,100,77,1.1204184704184703
3,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,110,0.0021624007060901647
3,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,110,-0.18676081200353042
3,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,110,-0.06672550750220692
3,Mark 38,Mark 14,HYDROGEL_PACK,5,159,0.15204036858271164
3,Mark 38,Mark 14,HYDROGEL_PACK,20,159,0.45240054117302886
3,Mark 38,Mark 14,HYDROGEL_PACK,100,159,-1.6572144215299103
3,Mark 38,Mark 14,VEV_4000,5,71,0.47837022132796764
