passive_seller,day,K,n,mean,median,t_stat,frac_pos,ci95_lo,ci95_hi
Mark 01,1,5,81,-0.12962962962962962,-0.5,-0.511993379654938,0.4074074074074074,-0.5987654320987654,0.35802469135802467
Mark 01,1,20,81,-0.5802469135802469,-1.0,-1.132117299143297,0.41975308641975306,-1.5493827160493827,0.46311728395061647
Mark 01,2,5,92,-0.08152173913043478,0.0,-0.42018181645494257,0.3804347826086957,-0.45652173913043476,0.29891304347826086
Mark 01,2,20,92,0.125,0.0,0.30121058505694803,0.4782608695652174,-0.6577445652173913,0.9184782608695652
Mark 01,3,5,71,0.24647887323943662,0.0,0.9302177441680617,0.4788732394366197,-0.2748239436619718,0.7748239436619708
Mark 01,3,20,71,0.5211267605633803,0.5,1.0538878980568633,0.5352112676056338,-0.40862676056338026,1.443661971830986
Mark 14,1,5,97,0.12886597938144329,0.0,0.5913985617303034,0.4948453608247423,-0.29381443298969073,0.5618556701030928
Mark 14,1,20,97,1.3195876288659794,1.0,3.389861336682805,0.5876288659793815,0.5153350515463917,2.149613402061855
Mark 14,2,5,118,0.3516949152542373,0.0,1.5578306331307368,0.4915254237288136,-0.1059322033898305,0.7712923728813554
Mark 14,2,20,118,0.4364406779661017,0.25,1.2904182872172252,0.5,-0.2375,1.1060381355932196
Mark 14,3,5,116,0.2801724137931034,0.0,1.5052701195358609,0.45689655172413796,-0.0863146551724138,0.6508620689655172
Mark 14,3,20,116,0.09482758620689655,0.0,0.25533408071186925,0.4827586206896552,-0.599353448275862,0.8061422413793097
Mark 22,1,5,37,2.27027027027027,2.0,7.343787183128525,0.918918918918919,1.7027027027027026,2.865202702702701
Mark 22,1,20,37,2.5405405405405403,3.5,3.898426067894184,0.6756756756756757,1.2837837837837838,3.7972972972972974
Mark 22,2,5,34,1.8676470588235294,2.0,6.100669353585629,0.8529411764705882,1.3088235294117647,2.4411764705882355
Mark 22,2,20,34,1.25,1.5,1.817659738728636,0.5882352941176471,-0.11764705882352941,2.5886029411764686
Mark 22,3,5,19,1.8157894736842106,1.5,3.9008030204748176,0.7894736842105263,0.9473684210526315,2.6842105263157894
Mark 22,3,20,19,2.3947368421052633,3.5,2.30299808310693,0.6842105263157895,0.42039473684210527,4.342763157894733
Mark 49,1,5,34,2.014705882352941,2.0,7.605067583271044,0.8235294117647058,1.5,2.5294117647058822
Mark 49,1,20,34,1.8088235294117647,2.0,2.843552060881096,0.7058823529411765,0.5735294117647058,3.0003676470588214
Mark 49,2,5,36,1.6527777777777777,2.0,5.324428565837684,0.8333333333333334,1.0277777777777777,2.1944444444444446
Mark 49,2,20,36,1.6666666666666667,2.0,2.7102076679394544,0.6944444444444444,0.43020833333333336,2.8336805555555538
Mark 49,3,5,34,1.8823529411764706,2.0,4.712325626927132,0.7058823529411765,1.1323529411764706,2.6470588235294117
Mark 49,3,20,34,2.0294117647058822,1.5,2.9459053572441936,0.6470588235294118,0.6613970588235294,3.3823529411764706
